batch_id,num_utterances,start_index,mean_dist,std_dist,cutoff,cum_mean_dist,cum_std_dist,cum_cutoff
1,20,1,0.5732316374778748,0.14860330522060394,0.7218349426984787,0.5732316374778748,0.14860329031944275,0.7218349277973175
2,20,21,0.7177390456199646,0.12679129838943481,0.8445303440093994,0.6454853415489197,0.1547408550977707,0.8002261966466904
3,20,41,0.734209418296814,0.12637847661972046,0.8605878949165344,0.6750600337982178,0.15083175897598267,0.8258917927742004
4,20,61,0.7099214196205139,0.11159559339284897,0.8215170130133629,0.6837753653526306,0.1421850621700287,0.8259604275226593
5,20,81,0.7067630290985107,0.10934889316558838,0.8161119222640991,0.6883729696273804,0.1360611915588379,0.8244341611862183
6,20,101,0.6556968092918396,0.18063008785247803,0.8363268971443176,0.6829268932342529,0.14408403635025024,0.8270109295845032
7,20,121,0.7441028356552124,0.15056449174880981,0.8946673274040222,0.691666305065155,0.14605964720249176,0.8377259522676468
8,20,141,0.7913799285888672,0.21826256811618805,1.0096424967050552,0.7041305303573608,0.1594896912574768,0.8636202216148376
9,20,161,0.8415878415107727,0.042262203991413116,0.8838500455021858,0.7194035053253174,0.1570381373167038,0.8764416426420212
10,20,181,0.8087364435195923,0.09964856505393982,0.9083850085735321,0.7283368110656738,0.15444223582744598,0.8827790468931198
11,20,201,0.6183815002441406,0.1257348507642746,0.7441163510084152,0.7183409333229065,0.15507878363132477,0.8734197169542313
12,20,221,0.7251392602920532,0.14654676616191864,0.8716860264539719,0.718907356262207,0.1541031002998352,0.8730104565620422
13,20,241,0.6426546573638916,0.225371316075325,0.8680259734392166,0.7130417823791504,0.1614140272140503,0.8744558095932007
14,20,261,0.7420862913131714,0.08710689842700958,0.829193189740181,0.7151163816452026,0.1573520004749298,0.8724683821201324
15,20,281,0.7013487219810486,0.11587638407945633,0.8172251060605049,0.7141985893249512,0.1548178493976593,0.8690164387226105
16,20,301,0.6960406303405762,0.13964517414569855,0.8356858044862747,0.713063657283783,0.15377484261989594,0.8668384999036789
17,20,321,0.8280526995658875,0.09057497978210449,0.9186276793479919,0.7198277711868286,0.15311960875988007,0.8729473799467087
18,20,341,0.7465316653251648,0.11467253416776657,0.8612041994929314,0.7213112711906433,0.15123796463012695,0.8725492358207703
19,20,361,0.6411131024360657,0.18831570446491241,0.8294288069009781,0.7170904278755188,0.15415988862514496,0.8712503165006638
20,20,381,0.6462058424949646,0.1849302351474762,0.8311360776424408,0.7135461568832397,0.15633882582187653,0.8698849827051163
21,20,401,0.6512584090232849,0.1439417004585266,0.7952001094818115,0.7105801105499268,0.1561763882637024,0.8667564988136292
22,20,421,0.6527666449546814,0.1419481635093689,0.7947148084640503,0.7079522013664246,0.1558758169412613,0.8638280183076859
23,20,441,0.6333461999893188,0.17159786820411682,0.8049440681934357,0.7047083973884583,0.1571287363767624,0.8618371337652206
24,20,461,0.6558381915092468,0.10865826904773712,0.764496460556984,0.7026721239089966,0.15563564002513885,0.8583077639341354
25,20,481,0.6791793704032898,0.17448356747627258,0.8536629378795624,0.7017323970794678,0.15630757808685303,0.8580399751663208
26,20,501,0.632018506526947,0.14914606511592865,0.7811645716428757,0.6990510821342468,0.15647678077220917,0.855527862906456
27,20,521,0.6273819804191589,0.16419607400894165,0.7915780544281006,0.6963967680931091,0.15719525516033173,0.8535920232534409
28,20,541,0.78438800573349,0.1408485323190689,0.9252365380525589,0.6995392441749573,0.1573774516582489,0.8569166958332062
29,20,561,0.7067220211029053,0.17583687603473663,0.8825588971376419,0.6997869610786438,0.15788745880126953,0.8576744198799133
30,20,581,0.7862715125083923,0.13498736917972565,0.921258881688118,0.7026697993278503,0.15784646570682526,0.8605162650346756
31,20,601,0.7442952394485474,0.16094975173473358,0.905244991183281,0.7040125131607056,0.15798670053482056,0.8619992136955261
32,20,621,0.6495122313499451,0.21749979257583618,0.8670120239257812,0.7023094296455383,0.1602349728345871,0.8625444024801254
33,20,641,0.6182905435562134,0.16840942203998566,0.786699965596199,0.6997633576393127,0.161001518368721,0.8607648760080338
34,20,661,0.6058265566825867,0.189397394657135,0.7952239513397217,0.6970005035400391,0.16252385079860687,0.8595243543386459
35,20,681,0.7308318614959717,0.14046084880828857,0.8712927103042603,0.6979671120643616,0.1619454324245453,0.8599125444889069
36,20,701,0.792249858379364,0.10958471894264221,0.9018345773220062,0.7005860805511475,0.16141419112682343,0.8620002716779709
37,20,721,0.7719610333442688,0.11099103838205338,0.8829520717263222,0.7025151252746582,0.1606246680021286,0.8631397932767868
38,20,741,0.8315646052360535,0.0766095370054245,0.908174142241478,0.7059112787246704,0.16029547154903412,0.8662067502737045
39,20,761,0.8036638498306274,0.10707252472639084,0.9107363745570183,0.7084177136421204,0.15985499322414398,0.8682727068662643
40,20,781,0.7788224220275879,0.17380788922309875,0.9526303112506866,0.7101777791976929,0.1604783982038498,0.8706561774015427
41,20,801,0.7641828656196594,0.15826493501663208,0.9224478006362915,0.7114949226379395,0.16054591536521912,0.8720408380031586
42,20,821,0.726485550403595,0.1569216102361679,0.8834071606397629,0.7118518352508545,0.16038529574871063,0.8722371309995651
43,20,841,0.6565676927566528,0.21809466183185577,0.8746623545885086,0.7105661630630493,0.16200652718544006,0.8725726902484894
44,20,861,0.5938519239425659,0.1716267466545105,0.7654786705970764,0.7079135775566101,0.16305992007255554,0.8709734976291656
45,20,881,0.7297925353050232,0.20356887578964233,0.9333614110946655,0.708399772644043,0.16396115720272064,0.8723609298467636
46,20,901,0.8478474020957947,0.037144649773836136,0.8849920518696308,0.7114312648773193,0.16352590918540955,0.8749571740627289
