batch_id,cum_mean_dist,cum_std_dist,cum_cutoff
1,0.5026029944419861,0.23806089162826538,0.7406638860702515
2,0.6222301721572876,0.2406778782606125,0.8629080504179001
3,0.626295268535614,0.22250041365623474,0.8487956821918488
4,0.6459535956382751,0.21900330483913422,0.8649569004774094
5,0.628371000289917,0.20554693043231964,0.8339179307222366
6,0.6254546046257019,0.20659075677394867,0.8320453613996506
7,0.6383853554725647,0.19900505244731903,0.8373904079198837
8,0.6475359201431274,0.19156286120414734,0.8390987813472748
9,0.6502966284751892,0.19034738838672638,0.8406440168619156
10,0.6417283415794373,0.18476305902004242,0.8264914005994797
11,0.638032853603363,0.18154650926589966,0.8195793628692627
12,0.6513753533363342,0.18235351145267487,0.8337288647890091
13,0.6689862012863159,0.18594990670681,0.8549361079931259
14,0.6738404631614685,0.18462766706943512,0.8584681302309036
15,0.676049530506134,0.18347854912281036,0.8595280796289444
16,0.6711578965187073,0.18735371530056,0.8585116118192673
17,0.6596514582633972,0.19389016926288605,0.8535416275262833
18,0.6549134850502014,0.19361905753612518,0.8485325425863266
19,0.6536155343055725,0.19108092784881592,0.8446964621543884
20,0.6527007818222046,0.18863330781459808,0.8413340896368027
21,0.653597891330719,0.18506719172000885,0.8386650830507278
22,0.6543486714363098,0.18469081819057465,0.8390394896268845
23,0.6520748734474182,0.18547376990318298,0.8375486433506012
24,0.6533623933792114,0.18484118580818176,0.8382035791873932
25,0.6563387513160706,0.1837589293718338,0.8400976806879044
26,0.6530885696411133,0.18247736990451813,0.8355659395456314
27,0.6513864398002625,0.18185117840766907,0.8332376182079315
28,0.6496520042419434,0.1810237467288971,0.8306757509708405
29,0.6448954343795776,0.18390615284442902,0.8288015872240067
30,0.6403865814208984,0.18619170784950256,0.826578289270401
31,0.6376984119415283,0.18777240812778473,0.825470820069313
32,0.6367634534835815,0.18940052390098572,0.8261639773845673
33,0.6338276863098145,0.18950249254703522,0.8233301788568497
34,0.6331102848052979,0.1895064413547516,0.8226167261600494
35,0.6311850547790527,0.18900613486766815,0.8201911896467209
36,0.6297810673713684,0.18795965611934662,0.817740723490715
37,0.6288352608680725,0.18763934075832367,0.8164746016263962
38,0.6286613941192627,0.1884104311466217,0.8170718252658844
39,0.6315187811851501,0.18845276534557343,0.8199715465307236
40,0.6359561085700989,0.18865887820720673,0.8246149867773056
41,0.6383937001228333,0.18956024944782257,0.8279539495706558
42,0.6396324038505554,0.1885763555765152,0.8282087594270706
43,0.6391386985778809,0.18815763294696808,0.8272963315248489
44,0.6398017406463623,0.1871362179517746,0.8269379585981369
45,0.6395449042320251,0.18590664863586426,0.8254515528678894
46,0.6382980346679688,0.18572337925434113,0.8240214139223099
47,0.6375402212142944,0.18497586250305176,0.8225160837173462
48,0.6370911002159119,0.1849653720855713,0.8220564723014832
49,0.6368005275726318,0.18401120603084564,0.8208117336034775
50,0.6360371112823486,0.18530812859535217,0.8213452398777008
51,0.6343008875846863,0.186055988073349,0.8203568756580353
52,0.6342998147010803,0.1860184669494629,0.8203182816505432
53,0.6382420659065247,0.18665726482868195,0.8248993307352066
54,0.6415466070175171,0.18682441115379333,0.8283710181713104
55,0.6401559114456177,0.18725551664829254,0.8274114280939102
56,0.6397521495819092,0.18672697246074677,0.826479122042656
57,0.6396313905715942,0.1857830435037613,0.8254144340753555
58,0.6395535469055176,0.186049222946167,0.8256027698516846
59,0.6390579342842102,0.18545448780059814,0.8245124220848083
60,0.637695848941803,0.18547841906547546,0.8231742680072784
61,0.6371628046035767,0.184993177652359,0.8221559822559357
62,0.6368017196655273,0.18443429470062256,0.8212360143661499
63,0.6365854144096375,0.18475869297981262,0.8213441073894501
64,0.6359474658966064,0.184858039021492,0.8208055049180984
65,0.6353668570518494,0.18404097855091095,0.8194078356027603
66,0.6355383396148682,0.1834510713815689,0.8189894109964371
67,0.634462296962738,0.18359331786632538,0.8180556148290634
68,0.6352221369743347,0.18386444449424744,0.8190865814685822
69,0.6358009576797485,0.1832425892353058,0.8190435469150543
70,0.6355407238006592,0.18327246606349945,0.8188131898641586
71,0.6351004838943481,0.18359345197677612,0.8186939358711243
72,0.6346905827522278,0.1837158054113388,0.8184063881635666
73,0.6343332529067993,0.18332801759243011,0.8176612704992294
74,0.633061408996582,0.18365426361560822,0.8167156726121902
75,0.6326228976249695,0.1837638020515442,0.8163866996765137
76,0.6320884227752686,0.1839359700679779,0.8160243928432465
77,0.6319594383239746,0.18372806906700134,0.815687507390976
78,0.6320481896400452,0.18421848118305206,0.8162666708230972
79,0.6329192519187927,0.18400490283966064,0.8169241547584534
80,0.6344214677810669,0.18427208065986633,0.8186935484409332
81,0.6361275315284729,0.18431536853313446,0.8204429000616074
82,0.6377862095832825,0.18467769026756287,0.8224638998508453
83,0.6362934708595276,0.18559172749519348,0.8218851983547211
84,0.6360324621200562,0.18529552221298218,0.8213279843330383
85,0.6349143981933594,0.18581560254096985,0.8207300007343292
86,0.6339808106422424,0.1856631338596344,0.8196439445018768
87,0.6338976621627808,0.1853451132774353,0.8192427754402161
88,0.633785605430603,0.18535159528255463,0.8191372007131577
89,0.6350885629653931,0.1854180544614792,0.8205066174268723
90,0.6344273090362549,0.18524649739265442,0.8196738064289093
91,0.635211706161499,0.18600240349769592,0.821214109659195
92,0.6342331767082214,0.18568603694438934,0.8199192136526108
93,0.6335212588310242,0.18558324873447418,0.8191045075654984
94,0.6339877247810364,0.18558359146118164,0.819571316242218
95,0.6348971128463745,0.1855662763118744,0.8204633891582489
96,0.6364195942878723,0.18546614050865173,0.821885734796524
